,name,houseID,houseZip,rentAmount,paymentDate_clean,dob_clean,paymentAmount_clean
6410,Estell Mcfatridge,721,92161,1751.0,2010-01-07,1976-05-14,1751.0
6411,Malorie Bartsch,1545,92111,1402.0,2010-01-07,,1402.0
6412,Ying Koogler,2455,92166,1474.0,2010-01-07,2000-01-01,1474.0
6413,Shay Vides,2108,92101,1589.0,2010-01-07,2063-09-07,1589.0
6414,Rhona Shipton,1944,92133,1225.0,2010-01-07,2019-06-10,1225.0
6415,Danae Rosenbeck,479,92160,1497.0,2010-01-07,,1497.0
6416,Shantae Bewley,2082,92111,1008.0,2010-01-07,1969-10-10,1008.0
6417,Jamila Decuir,1025,92110,1334.0,2010-01-07,2000-01-01,1334.0
6418,Delphia Palacio,550,92128,1895.0,2010-01-07,2000-01-01,1895.0
6419,Sean Sharman,2058,92153,1321.0,2010-01-07,2000-01-01,1321.0
6420,Rosamond Ramsburg,1977,92182,1339.0,2010-01-07,1972-02-22,1339.0
6421,Eleonore Tatman,652,92161,2123.0,2010-01-07,2000-01-01,2123.0
6422,Violeta Cleary,2388,92108,1230.0,2010-01-07,2000-01-01,1230.0
6423,Eldon Wilbourn,644,92167,1592.0,2010-01-07,2000-01-01,1592.0
6424,Tora Scheffel,2307,92176,1185.0,2010-01-07,1979-11-27,1185.0
6425,Noel Lupien,1806,92199,753.0,2010-01-07,2000-01-01,753.0
6426,Amal Gillenwater,78,92129,1851.0,2010-01-07,,1851.0
6427,Lashandra Flannagan,1330,92104,1519.0,2010-01-07,,1519.0
6428,Jodee Grimsley,1121,92165,1186.0,2010-01-07,,1186.0
6429,Pearly Shipe,1875,92127,1470.0,2010-01-07,2000-01-01,1470.0
6430,Wanda Crowden,2404,92198,1462.0,2010-01-07,2000-01-01,1462.0
6431,Birgit Strackbein,214,92194,1662.0,2010-01-07,2000-01-01,1662.0
6432,Mack Triano,1508,92122,1334.0,2010-01-07,2000-01-01,1334.0
6433,Leona Dimond,1393,92140,1751.0,2010-01-07,2005-05-09,1751.0
6434,Chieko Zamora,390,92150,1956.0,2010-01-07,,1956.0
6435,Freida Poirer,808,92170,1096.0,2010-01-07,,1096.0
6436,Janna Lautenschlage,1047,92190,1138.0,2010-01-07,2000-01-01,1138.0
6437,Cleta Beachy,424,92135,1445.0,2010-01-07,2000-01-01,1445.0
6438,Rudy Stirling,2008,92136,1362.0,2010-01-07,2005-04-02,1362.0
6439,Mayme Graybill,1646,92184,1516.0,2010-01-07,2000-01-01,1516.0
6440,Kirsten Krizan,1262,92195,941.0,2010-01-07,,941.0
6441,Zackary Narducci,2466,92176,1509.0,2010-01-07,2000-01-01,1509.0
6442,Eunice Malik,741,92153,1274.0,2010-01-07,2000-01-01,1274.0
6443,Krystina Hills,1286,92132,1610.0,2010-01-07,2001-07-16,1610.0
6444,Pamella Monzo,1856,92197,1035.0,2010-01-07,,1035.0
6445,Keeley Bumgardner,1227,92104,1422.0,2010-01-07,2000-01-01,1422.0
6446,Jeannette Bartels,1082,92145,1500.0,2010-01-07,2000-01-01,1500.0
6447,Romeo Junge,1962,92191,1295.0,2010-01-07,1974-09-04,1295.0
6448,Sadye Darland,2032,92128,1926.0,2010-01-07,1900-01-01,1926.0
6449,Billye Ashford,212,92192,1516.0,2010-01-07,,1516.0
6450,Ron Grey,1965,92117,1949.0,2010-01-07,,2241.0
6451,Tegan Zepeda,2232,92191,1785.0,2010-01-07,,1785.0
6452,Meghan Poynter,1652,92129,1767.0,2010-01-07,,1767.0
6453,Dorthea Tarry,606,92133,1054.0,2010-01-07,1973-05-08,1054.0
6454,Susannah Camilleri,2189,92109,1520.0,2010-01-07,2000-01-01,1520.0
6455,Delana Fino,537,92126,1412.0,2010-01-07,,1412.0
6456,Margarette Neitzel,1564,92177,1351.0,2010-01-07,2000-01-01,1351.0
6457,Jamal Parman,1020,92187,1443.0,2010-01-07,1971-12-02,1443.0
6458,Josue Baden,1160,92112,1903.0,2010-01-07,1987-07-21,1903.0
6459,Gaynell Desjardin,820,92131,1749.0,2010-01-07,,1749.0
6460,Terrilyn Giles,2253,92196,1913.0,2010-01-07,2063-02-03,1913.0
6461,Nikki Wygant,1799,92166,1640.0,2010-01-07,1900-01-01,1640.0
6462,Zola Howley,2473,92137,1497.0,2010-01-07,1984-02-04,1497.0
6463,Alva Guadarrama,69,92119,1948.0,2010-01-07,1989-10-11,1948.0
6464,Julissa Sandlin,1175,92121,1771.0,2010-01-07,1972-01-18,1771.0
6465,Newton Zamarripa,1778,92155,1353.0,2010-01-07,2001-06-08,1353.0
6466,Mack Cheesman,1506,92195,906.0,2010-01-07,2000-01-01,906.0
6467,Salvatore Brannon,2034,92109,1179.0,2010-01-07,2000-01-01,1179.0
6468,Franklin Digregorio,799,92123,832.0,2010-01-07,2000-01-01,832.0
6469,Nelida Drinkwater,1772,92121,1708.0,2010-01-07,2000-01-01,1708.0
6470,Naoma Pylant,1757,92134,1275.0,2010-01-07,,1275.0
6471,Hildegarde Litchford,942,92147,1952.0,2010-01-07,,1952.0
6472,Leatha Vanduyn,1365,92140,1523.0,2010-01-07,,1523.0
6473,Gale Demos,814,92107,1969.0,2010-01-07,2000-01-01,1969.0
6474,Natalie Fenton,1759,92116,1940.0,2010-01-07,2000-01-01,1940.0
6475,Russel Lambson,2012,92106,1605.0,2010-01-07,2000-01-01,1605.0
6476,Santo Hanney,2052,92174,1750.0,2010-01-07,2000-01-01,1750.0
6477,Marylyn Cardenas,1634,92121,1559.0,2010-01-07,2000-01-01,1559.0
6478,Vina Danford,2380,92187,1812.0,2010-01-07,2000-01-01,1812.0
6479,Catherin Parisien,338,92114,1382.0,2010-01-07,,-207.3
6480,Porfirio Machnik,1892,92160,1255.0,2010-01-07,,1255.0
6481,Wai Legge,2399,92165,2115.0,2010-01-07,2000-01-01,2115.0
6482,Arletha Plumadore,140,92111,1501.0,2010-01-07,2000-01-01,1501.0
6483,Stacie Lawler,2170,92126,1495.0,2010-01-07,2000-01-01,1495.0
6484,Jacquie Escarcega,1009,92101,1444.0,2010-01-07,1982-01-12,1444.0
6485,Chara Mahlum,362,92197,1041.0,2010-01-07,2000-01-01,1041.0
6486,Joetta Zielinski,1125,92155,1663.0,2010-01-07,2000-01-01,1663.0
6487,Gianna Propp,845,92130,1227.0,2010-01-07,2000-01-01,1227.0
6488,Elia Veasey,657,92111,1455.0,2010-01-07,,1455.0
6489,Danika Strawser,487,92164,1506.0,2010-01-07,2000-01-01,
6490,Gigi Cyr,848,92184,1355.0,2010-01-07,2000-01-01,1355.0
6491,Felicia Mcanulty,761,92177,1664.0,2010-01-07,2000-01-01,1664.0
6492,Booker Gadberry,227,92149,1567.0,2010-01-07,2000-01-01,1567.0
6493,Wanetta Fyfe,2407,92163,1353.0,2010-01-07,2000-01-01,1353.0
6494,Leonor Paquin,1399,92152,1798.0,2010-01-07,2000-01-01,1798.0
6495,Annemarie Vankleeck,114,92169,1677.0,2010-01-07,1988-05-02,1677.0
6496,Elenor Vince,650,92169,1435.0,2010-01-07,,1435.0
6497,Walton Talmadge,2403,92136,1922.0,2010-01-07,2000-01-01,1922.0
6498,Johnetta Hertzog,1135,92192,1713.0,2010-01-07,1985-02-01,1713.0
6499,Keenan Hallum,1231,92169,1342.0,2010-01-07,,1342.0
6500,Marina Pankey,1596,92147,825.0,2010-01-07,2064-01-06,825.0
6501,Tessa Humbert,2254,92103,1355.0,2010-01-07,,1355.0
6502,Ambrose Puthoff,80,92137,1676.0,2010-01-07,1981-10-12,1676.0
6503,Timothy Podkowka,2279,92136,1987.0,2010-01-07,2000-01-01,1987.0
6504,Tyler Schlatter,2342,92196,1326.0,2010-01-07,2000-01-01,1326.0
6505,Sabina Auston,2023,92162,1947.0,2010-01-07,1900-01-01,1947.0
6506,Norman Easterwood,1818,92115,1777.0,2010-01-07,2000-01-01,1777.0
6507,Reyes Gullickson,1941,92150,1625.0,2010-01-07,,1625.0
6508,Roselyn Richerson,1988,92115,1734.0,2010-01-07,2000-01-01,1734.0
6509,Kaylee Harder,1224,92195,1462.0,2010-01-07,2000-01-01,1462.0
6510,Lawerence Schaible,1357,92111,1860.0,2010-01-07,2068-06-11,1860.0
6511,Neville Mccaul,1777,92174,1883.0,2010-01-07,1986-10-07,1883.0
6512,Denyse Kung,564,92112,1485.0,2010-01-07,1900-01-01,1485.0
6513,Nobuko Rodda,1804,92137,1267.0,2010-01-07,2011-11-10,1267.0
6514,Shanda Wyche,2069,92105,1544.0,2010-01-07,,1544.0
6515,Joy Rowlands,1162,92123,1040.0,2010-01-07,2000-01-01,1040.0
6516,Beatris Schneider,185,92120,1514.0,2010-01-07,2000-01-01,1514.0
6517,Roscoe Moskowitz,1985,92161,1365.0,2010-01-07,2000-01-01,1365.0
6518,Kimbra Sorenson,1258,92107,1721.0,2010-01-07,2000-01-01,1721.0
6519,Asuncion Leath,160,92158,1469.0,2010-01-07,1972-05-02,
6520,Florinda Lonergan,785,92126,1135.0,2010-01-07,2067-07-12,1135.0
6521,Gemma Amado,823,92152,1905.0,2010-01-07,2000-01-01,1905.0
6522,Loyce Sliva,1463,92160,1249.0,2010-01-07,2050-10-03,1249.0
6523,Leland Bernardino,1380,92184,1823.0,2010-01-07,2000-01-01,1823.0
6524,Lynnette Amsler,1499,92117,1179.0,2010-01-07,,1179.0
6525,Myrle Mcgranahan,1738,92142,1611.0,2010-01-07,2000-01-01,1611.0
6526,Toya Mohammed,2311,92169,1340.0,2010-01-07,2000-01-01,1340.0
6527,Nobuko Mcenaney,1803,92177,1653.0,2010-01-07,2000-01-01,1653.0
6528,Collene Larocco,442,92137,1871.0,2010-01-07,,1871.0
6529,Talia Boehman,2201,92152,1038.0,2010-01-07,1980-12-09,1038.0
6530,Thomasena Hartig,2269,92198,1112.0,2010-01-07,1973-01-01,1112.0
6531,Colene Fitts,436,92139,1435.0,2010-01-07,1982-07-08,1435.0
6532,Ed Mcmunn,625,92160,1324.0,2010-01-07,2000-01-01,1324.0
6533,Prince Bent,1898,92158,1612.0,2010-01-07,2000-01-01,1612.0
6534,Amos Penhollow,83,92127,1338.0,2010-01-07,,1338.0
6535,Marylouise Mott,1633,92159,1342.0,2010-01-07,,1342.0
6536,Nevada Buggs,1776,92153,933.0,2010-01-07,2000-01-01,933.0
6537,Delila Sylvester,540,92136,1896.0,2010-01-07,2000-01-01,1896.0
6538,Alyssa Mintz,76,92198,1726.0,2010-01-07,2000-01-01,1726.0
6539,Emma Dunkel,698,92128,1502.0,2010-01-07,2000-01-01,1502.0
6540,Elyse Haner,681,92176,1352.0,2010-01-07,2000-01-01,1352.0
6541,Elliot Loera,664,92179,1417.0,2010-01-07,2000-01-01,1417.0
6542,Jen Heitkamp,1093,92139,1803.0,2010-01-07,2000-01-01,1803.0
6543,Krysten Scruggs,1285,92111,1824.0,2010-01-07,2000-01-01,1824.0
6544,Karmen Kroner,1196,92192,1404.0,2010-01-07,2000-01-01,1404.0
6545,Antwan Delia,124,92135,1154.0,2010-01-07,2000-01-01,1154.0
6546,Tonette Rye,2297,92197,1514.0,2010-01-07,,1514.0
6547,Maida Lambrecht,1533,92160,1841.0,2010-01-07,,1841.0
6548,Ashton Girouard,156,92168,1135.0,2010-01-07,1999-02-19,1135.0
6549,Tona Hurlbut,2295,92109,1608.0,2010-01-07,,1608.0
6550,Chastity Dowell,372,92172,1484.0,2010-01-07,,1484.0
6551,Lashawn Rotella,1336,92190,1930.0,2010-01-07,1985-12-05,1930.0
6552,Kandice Mayweather,1188,92166,1920.0,2010-01-07,2000-01-01,1920.0
6553,Nan Kueter,1753,92112,1415.0,2010-01-07,,1415.0
6554,Meagan Mitchum,1649,92179,1661.0,2010-01-07,,1661.0
6555,Cristy Luzier,461,92158,1280.0,2010-01-07,2000-01-01,1280.0
6556,Zoila Faler,2472,92112,1396.0,2010-01-07,,1396.0
6557,Harland Wyse,912,92128,1995.0,2010-01-08,,1995.0
6558,Rocio Lukens,1955,92171,1172.0,2010-01-08,2000-01-01,1172.0
6559,Verdell Dunigan,2362,92129,1714.0,2010-01-08,2000-01-01,1714.0
6560,Gianna Propp,845,92130,1227.0,2010-01-08,2000-01-01,1227.0
6561,Adaline Santos,7,92124,1279.0,2010-01-08,,1279.0
6562,Marina Pankey,1596,92147,825.0,2010-01-08,2064-01-06,825.0
6563,Johnna Carpino,1136,92174,1409.0,2010-01-08,2000-01-01,1409.0
6564,Kisha Macias,1267,92199,1342.0,2010-01-08,1977-03-12,1342.0
6565,Weldon Perna,2415,92199,1377.0,2010-01-08,2000-01-01,1377.0
6566,Jennie Lofton,1098,92130,1615.0,2010-01-08,2000-01-01,1615.0
6567,Shannon Muldrew,2078,92119,1506.0,2010-01-08,1900-01-01,-225.9
6568,Gregoria Brucker,886,92184,1383.0,2010-01-08,2000-01-01,1383.0
6569,Weldon Strunk,2416,92159,1436.0,2010-01-08,2000-01-01,1436.0
6570,Shawn Drane,2099,92110,2026.0,2010-01-08,1991-02-12,2026.0
6571,Daniela Cairns,483,92169,1201.0,2010-01-08,2000-01-01,1201.0
6572,Julian Boruff,1170,92162,1596.0,2010-01-08,2000-01-01,1596.0
6573,Hana Bellon,904,92132,1548.0,2010-01-08,2000-01-01,1548.0
6574,Angelyn Cavaliere,98,92193,1521.0,2010-01-08,2000-01-01,1521.0
6575,Bruno Newbern,254,92154,1538.0,2010-01-08,,1538.0
6576,Maggie Favorite,1530,92174,1510.0,2010-01-08,,1510.0
6577,Franklin Bolling,797,92172,1370.0,2010-01-08,2050-11-08,1370.0
6578,Alden Vandever,38,92124,1525.0,2010-01-08,2000-01-01,1525.0
6579,Martha Rocha,1616,92140,1533.0,2010-01-08,1980-05-06,1533.0
6580,Carmelo Mckee,313,92120,1097.0,2010-01-08,1987-11-01,1097.0
6581,Chana Furniss,354,92163,998.0,2010-01-08,2000-01-01,998.0
6582,Pandora Gatling,1859,92138,1541.0,2010-01-08,,1541.0
6583,Leandra Firkins,1359,92174,1493.0,2010-01-08,2062-09-04,1493.0
6584,Erminia Bittinger,712,92117,1720.0,2010-01-08,2000-01-01,1720.0
6585,Dortha Macdonald,605,92167,1470.0,2010-01-08,2000-01-01,1470.0
6586,Barry Peckham,180,92169,1882.0,2010-01-08,1971-06-13,1882.0
6587,Gene Greenhaw,828,92171,1440.0,2010-01-08,2000-01-01,1440.0
6588,Jaquelyn Sheehy,1051,92127,1812.0,2010-01-08,1900-01-01,1812.0
6589,Sadye Darland,2032,92128,1926.0,2010-01-08,1900-01-01,1926.0
6590,Arnette Crays,150,92122,1452.0,2010-01-08,,1452.0
6591,Eladia Chapin,637,92116,1529.0,2010-01-08,2000-01-01,1529.0
6592,Colene Fitts,436,92139,1435.0,2010-01-08,1982-07-08,1435.0
6593,Matilde Sollars,1643,92199,1797.0,2010-01-08,,1797.0
6594,Katherine Jelley,1212,92186,1238.0,2010-01-08,1900-01-01,1238.0
6595,Francisca Heth,795,92115,1681.0,2010-01-08,1973-11-04,1681.0
6596,Ashlea Pietz,155,92119,1925.0,2010-01-08,1980-09-07,1925.0
6597,Lora Moyes,1446,92104,1906.0,2010-01-08,1988-11-01,1906.0
6598,Rodger You,1957,92164,1401.0,2010-01-08,2000-01-01,1401.0
6599,Joetta Zielinski,1125,92155,1663.0,2010-01-08,2000-01-01,1663.0
6600,Avril Densmore,172,92113,1512.0,2010-01-08,1966-03-17,1512.0
6601,Charity Robbins,367,92102,1787.0,2010-01-08,,1787.0
6602,Cristy Luzier,461,92158,1280.0,2010-01-08,2000-01-01,1280.0
6603,Karisa Tarlton,1195,92179,1559.0,2010-01-08,2000-01-01,1559.0
6604,Muriel Wichman,1737,92152,1299.0,2010-01-08,,-194.85
6605,Deandra Tagle,524,92193,1842.0,2010-01-08,,1842.0
6606,Roslyn Derouin,1992,92149,636.0,2010-01-08,1955-08-07,636.0
6607,Georgene Cropper,832,92191,1567.0,2010-01-08,1970-07-09,1567.0
6608,Gussie Breitenbach,890,92179,1840.0,2010-01-08,2000-01-01,1840.0
6609,Estefana Eccleston,719,92124,1837.0,2010-01-08,1981-03-04,1837.0
6610,Angelika Halberg,95,92101,1240.0,2010-01-08,,1240.0
6611,Evalyn Trabert,745,92138,1695.0,2010-01-08,2000-01-01,1695.0
6612,Charisse Dille,366,92175,1430.0,2010-01-08,2000-01-01,1430.0
6613,Bethel Kelson,203,92114,1206.0,2010-01-08,2000-01-01,1206.0
6614,Alfred Virgen,49,92159,1889.0,2010-01-08,,1889.0
6615,Sina Lukasik,2147,92198,1477.0,2010-01-08,,
6616,Graham Monaghan,876,92172,1563.0,2010-01-08,1970-03-12,1563.0
6617,Myrtle Ng,1743,92177,1239.0,2010-01-08,,1239.0
6618,Nathanial Conlon,1764,92169,1415.0,2010-01-08,1999-01-09,1415.0
6619,Blanche Straka,222,92115,1728.0,2010-01-08,1978-07-02,1728.0
6620,Kerstin Hypolite,1245,92110,1082.0,2010-01-08,2000-01-01,1082.0
6621,Herlinda Denk,934,92131,1864.0,2010-01-08,,1864.0
6622,Britni Friel,247,92195,1370.0,2010-01-08,,1370.0
6623,Sheryll Tipping,2129,92145,1169.0,2010-01-08,2000-01-01,1169.0
6624,Jaquelyn Brower,1049,92198,1396.0,2010-01-08,2000-01-01,1396.0
6625,Russel Lambson,2012,92106,1605.0,2010-01-08,2000-01-01,1605.0
6626,Valeria Banerjee,2353,92137,1586.0,2010-01-08,2000-01-01,1586.0
6627,Olin Cephas,1838,92171,1035.0,2010-01-08,2000-01-01,1035.0
6628,Ouida Vanzile,1852,92142,1399.0,2010-01-08,2000-01-01,1399.0
6629,Eva Bamburg,743,92123,1398.0,2010-01-08,2000-01-01,1398.0
6630,Myrl Scudder,1740,92131,1324.0,2010-01-08,2000-01-01,1324.0
6631,Ryan Stahly,2021,92182,1212.0,2010-01-08,2000-01-01,1212.0
6632,Dawn Nicely,520,92169,1835.0,2010-01-08,2000-01-01,1835.0
6633,Ying Garrow,2454,92164,1319.0,2010-01-08,1972-11-02,1319.0
6634,Joshua Kubat,1155,92121,1508.0,2010-01-08,2000-01-01,1508.0
6635,Keenan Hallum,1231,92169,1342.0,2010-01-08,,1342.0
6636,Letty Morrison,1412,92164,1513.0,2010-01-08,1975-12-08,1513.0
6637,Catalina Fritze,337,92150,892.0,2010-01-08,,892.0
6638,Adelia Terwilliger,12,92121,1469.0,2010-01-08,2051-10-03,1469.0
6639,Lynda Santucci,1494,92194,1591.0,2010-01-08,2000-01-01,1591.0
6640,Santiago Demaria,2051,92128,2003.0,2010-01-08,1979-08-08,2003.0
6641,Kary Wein,1206,92115,1864.0,2010-01-08,1942-12-04,1864.0
6642,Brigitte Prom,246,92164,1743.0,2010-01-08,2000-01-01,1743.0
6643,Lenora Ohm,1388,92137,1620.0,2010-01-08,2000-01-01,1620.0
6644,Jaymie Manzanares,1068,92130,1495.0,2010-01-08,2000-01-01,1495.0
6645,Tamra Trisler,2213,92172,1658.0,2010-01-08,2000-01-01,1658.0
6646,Soo Goshorn,2161,92109,1971.0,2010-01-08,2000-01-01,2463.0
6647,Frank Correll,796,92137,968.0,2010-01-08,,968.0
6648,Dewitt Matthews,575,92162,2123.0,2010-01-08,2000-01-01,2123.0
6649,Flossie Wilber,789,92112,2114.0,2010-01-08,2000-01-01,2114.0
6650,Madelaine Frandsen,1513,92179,1670.0,2010-01-08,2000-01-01,-250.5
6651,Matilda Stoltz,1642,92126,1434.0,2010-01-08,,1434.0
6652,Emelina Phalen,683,92120,1555.0,2010-01-08,1900-01-01,1555.0
6653,Tobias Zirkind,2286,92130,1109.0,2010-01-08,2000-01-01,1109.0
6654,Titus Zorn,2285,92130,1677.0,2010-01-08,1972-07-06,1677.0
6655,Hedy Moulden,925,92179,2119.0,2010-01-08,,2119.0
6656,Elly Escamilla,668,92126,1994.0,2010-01-08,1970-04-11,1994.0
6657,Tequila Magee,2241,92175,1264.0,2010-01-08,,1264.0
6658,Corrinne Tumlinson,452,92176,1449.0,2010-01-08,1963-04-15,1449.0
6659,Rosann Nishioka,1979,92166,1686.0,2010-01-08,2000-01-01,1686.0
6660,Ignacio Piel,968,92119,1587.0,2010-01-08,,1587.0
6661,Branda Pittman,237,92167,1368.0,2010-01-08,2000-01-01,1368.0
6662,Leisa Pettry,1378,92175,1379.0,2010-01-08,2000-01-01,1379.0
6663,Stasia Schindler,2174,92127,2277.0,2010-01-08,1900-01-01,2277.0
6664,Mikki Penner,1699,92191,1862.0,2010-01-08,2000-01-01,1862.0
6665,Mike Nowlen,1697,92162,1371.0,2010-01-08,2000-01-01,1371.0
6666,Kimberly Canning,1257,92161,988.0,2010-01-08,2000-01-01,988.0
6667,Erik Gullett,710,92122,1322.0,2010-01-08,2054-11-03,1322.0
6668,Teri Alderson,2246,92116,1344.0,2010-01-08,,1344.0
6669,Millard Crisci,1702,92116,1694.0,2010-01-08,1995-08-10,1694.0
6670,Breanna Bowden,240,92167,1623.0,2010-01-08,,1623.0
6671,Tonia Muniz,2298,92111,1512.0,2010-01-08,2000-01-01,1512.0
6672,Kayleigh Marchant,1225,92172,1538.0,2010-01-08,1986-11-04,1538.0
6673,Roxann Chatfield,1997,92153,1759.0,2010-01-08,2000-01-01,1759.0
6674,Altagracia Harting,66,92109,572.0,2010-01-08,,572.0
6675,Lura Baxley,1490,92133,1714.0,2010-01-08,2000-01-01,1714.0
6676,Jeana Ronald,1077,92142,1617.0,2010-01-08,2000-01-01,1617.0
6677,Ivonne Ransom,997,92190,1834.0,2010-01-08,,1834.0
6678,Fe Taber,769,92161,1024.0,2010-01-08,2000-01-01,1024.0
6679,Albert Wentworth,35,92114,1315.0,2010-01-08,1968-12-06,1315.0
6680,Jolanda Dambrosio,1139,92109,1796.0,2010-01-08,,1796.0
6681,Carter Kaczorowski,330,92166,1448.0,2010-01-08,,1448.0
6682,Lashaunda Storer,1333,92190,2137.0,2010-01-08,2000-01-01,2137.0
6683,Leif Ogburn,1372,92139,928.0,2010-01-08,,928.0
6684,Portia Pettiford,1894,92142,1493.0,2010-01-08,2000-01-01,1493.0
6685,Tennille Crunk,2237,92171,1238.0,2010-01-08,,1238.0
6686,Mercedez Ferranti,1666,92162,2229.0,2010-01-08,2056-01-08,-334.35
6687,Freeman Strzelecki,807,92160,1789.0,2010-01-08,1975-03-20,1789.0
6688,Rubye Hetherington,2005,92104,1548.0,2010-01-08,1900-01-01,1548.0
6689,Lovella Boroughs,1462,92186,1452.0,2010-01-08,1978-07-11,1452.0
6690,Arlinda Lawalin,142,92174,1454.0,2010-01-08,2000-01-01,1454.0
6691,Helaine Amendola,927,92166,986.0,2010-01-08,2000-01-01,986.0
6692,Naoma Pylant,1757,92134,1275.0,2010-01-08,,1275.0
6693,Sonny Frenette,2159,92124,1200.0,2010-01-08,,1200.0
6694,Dani Landry,488,92177,1405.0,2010-01-08,2000-01-01,1405.0
6695,Sheilah Costas,2109,92177,851.0,2010-01-08,,851.0
6696,Tawny Lipsey,2231,92139,1356.0,2010-01-08,1984-08-12,1356.0
6697,Shayla Hockensmith,2105,92163,1355.0,2010-01-08,2000-01-01,1355.0
6698,Chieko Zamora,390,92150,1956.0,2010-01-08,,1956.0
6699,Sabra Haslett,2024,92130,1422.0,2010-01-08,1984-12-10,1422.0
6700,Kimbra Sorenson,1258,92107,1721.0,2010-01-08,2000-01-01,1721.0
6701,Chastity Dowell,372,92172,1484.0,2010-01-08,,1484.0
6702,Elmira Crudup,670,92136,1818.0,2010-01-08,,1818.0
6703,Krysten Lanman,1284,92138,1169.0,2010-01-08,,1169.0
6704,Sheri Fehr,2119,92102,1296.0,2010-01-08,1979-09-02,1296.0
6705,Diamond Ohman,576,92136,2061.0,2010-01-08,2000-01-01,2061.0
6706,Anika Fetzer,102,92131,1825.0,2010-01-08,2000-01-01,1825.0
6707,Mamie Remus,1546,92199,1393.0,2010-01-08,,1393.0
6708,Luisa Robb,1485,92174,1163.0,2010-01-08,2000-01-01,1163.0
6709,Melony Seavey,1664,92123,1481.0,2010-01-08,2000-01-01,1481.0
6710,Vincent Darcangelo,2382,92165,1583.0,2010-01-08,1966-03-19,1583.0
6711,Thora Sperber,2270,92179,1363.0,2010-01-08,2000-01-01,1363.0
6712,Bruna Stearns,252,92190,1576.0,2010-01-08,,1576.0
6713,Cecile Dall,344,92117,1545.0,2010-01-08,1996-02-05,1545.0
6714,Rudy Stirling,2008,92136,1362.0,2010-01-08,2005-04-02,1362.0
6715,Callie Colvard,273,92114,1270.0,2010-01-08,2000-01-01,
6716,Ward Ealy,2410,92147,1618.0,2010-01-08,2057-07-06,1618.0
6717,Myrna Larmon,1741,92197,1669.0,2010-01-08,1992-02-09,1669.0
6718,Gaynell Desjardin,820,92131,1749.0,2010-01-08,,1749.0
6719,Tonette Rye,2297,92197,1514.0,2010-01-08,,1514.0
6720,Tomas Layton,2287,92133,1324.0,2010-01-08,2000-01-01,1324.0
6721,Elwanda Saver,680,92122,1628.0,2010-01-08,2007-06-07,-244.2
6722,Juliana Hepworth,1169,92128,1209.0,2010-01-08,1985-09-19,1209.0
6723,Estell Mcfatridge,721,92161,1751.0,2010-01-08,1976-05-14,1751.0
6724,Mildred Debo,1701,92150,1815.0,2010-01-08,,1815.0
6725,Yajaira Ridgley,2445,92135,1537.0,2010-01-08,2000-01-01,1537.0
6726,Clifford Hammersley,429,92114,1354.0,2010-01-08,2008-08-09,1354.0
6727,Donita Gaut,598,92170,1581.0,2010-01-08,2054-02-11,1581.0
6728,Laila Blount,1306,92110,1628.0,2010-01-08,1992-06-03,1628.0
6729,Odessa Mcgown,1832,92155,1392.0,2010-01-08,1993-02-07,1392.0
6730,Shawn Britten,2096,92101,1256.0,2010-01-08,1900-01-01,1256.0
6731,Raymon Maul,1917,92142,1098.0,2010-01-08,,1098.0
6732,Ciera Riss,400,92150,1500.0,2010-01-08,2000-01-01,1500.0
6733,Rubin Gutierrez,2003,92153,1208.0,2010-01-08,1999-07-10,1208.0
6734,Leontine Yeates,1400,92112,1901.0,2010-01-08,,1901.0
6735,Cameron Carbonell,276,92172,757.0,2010-01-08,,757.0
6736,Keeley Bumgardner,1227,92104,1422.0,2010-01-08,2000-01-01,1422.0
6737,Marlon Desouza,1608,92106,1370.0,2010-01-08,,1370.0
6738,Nieves Mercier,1796,92164,1486.0,2010-01-08,2000-01-01,1486.0
6739,Hwa Gano,960,92175,1434.0,2010-01-08,1983-02-05,1434.0
6740,Ariel Ratley,137,92187,1869.0,2010-01-08,2000-01-01,1869.0
6741,Jovan Pursley,1161,92121,1708.0,2010-01-08,2000-01-01,1708.0
6742,Gianna Kelleher,842,92196,1481.0,2010-01-08,2000-01-01,1481.0
6743,Deja Lion,536,92109,2043.0,2010-01-08,2000-01-01,2043.0
6744,Robyn Rickett,1954,92130,1845.0,2010-01-08,1900-01-01,1845.0
6745,Rosie Hutchison,1991,92102,1857.0,2010-01-08,2000-01-01,1857.0
6746,Dayle Laramore,521,92147,1241.0,2010-01-08,1997-12-04,1241.0
6747,Simone Tezeno,2145,92177,1693.0,2010-01-08,2000-01-01,1693.0
6748,Alaina Stutzman,29,92191,1232.0,2010-01-08,,1232.0
6749,Jasmine Caines,1058,92170,1451.0,2010-01-08,2000-01-01,1451.0
6750,Neville Mccaul,1777,92174,1883.0,2010-01-08,1986-10-07,1883.0
6751,Gemma Sala,825,92192,1636.0,2010-01-08,,1636.0
6752,Charlette Villeda,370,92145,1516.0,2010-01-08,1993-01-04,1516.0
6753,Jaymie Eutsey,1067,92108,2188.0,2010-01-08,,2188.0
6754,Luisa Geibel,1484,92130,1132.0,2010-01-08,,1132.0
6755,Viva Grainger,2393,92190,1801.0,2010-01-08,1978-09-03,1801.0
6756,Soon Pouncy,2164,92123,1413.0,2010-01-08,2000-01-01,1413.0
6757,Erasmo Plaisance,706,92175,1417.0,2010-01-08,,1417.0
